business_id,business_name,city,review_id,stars,text
PZe0q_153VHUnaR-8dOTJg,The Dearborn,Chicago,DQKj2YAmeIcjE9u3S2tsRQ,5,Excellent restaurant in downtown Chicago right across the street from the Richard J. Daley Center. I came in for lunch and was seated immediately. Service...
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano's,Chicago,IaVOI3vxP0YlOe3WCSDoww,5,"I took my mother in law to Giordano's for the first time. That's all she has talked about for weeks now. They are now for pizza, but everything on the menu..."
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano's,Chicago,OwywK4KMdwNgDWIH_knHRQ,4,"Well-known for its stuffed crust pizza, a deep-dish style pizza, Giordano's often comes to mind and synonymous whenever someone speaks of Chicago pizza...."
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano's,Chicago,I6rJeOI8YW27jeErf-8yTg,3,"As a visitor to Chicago, one of the things I was looking forward to on my trip was to try deep dish style from the two most recommended pizza places:..."
mCHto10PBQOKnefm7gholg,90 Miles Cuban Café,Chicago,8CpFgO6hXOI12rPVd2ZxWA,3,"Over price my son had a srimp al ajillo, they were not jumbo shrimp, and 5 small shrimp with rice and beans for $26, flavor was ok but they are not jumbo..."
mCHto10PBQOKnefm7gholg,90 Miles Cuban Café,Chicago,hQw6rM5xVYz_36HThWVx3g,4,"It's difficult to not give this restaurant 5 stars. 

The food is very very very good. I've had Cuban food in South Florida many times, and the cuisine at..."
mCHto10PBQOKnefm7gholg,90 Miles Cuban Café,Chicago,6NJOQ9s_u9ws94F754x1uA,4,Came here for dinner. Made a reservation on yelp and got seated right away. The place is super cute and we got a seat outside with heat lamps. Our waiter...
uyUKtGWLYgu-RLjlNImy0A,Tango Sur,Chicago,rE9DSp1wOzgjFgAKPrNI4Q,5,"We love this place and always come here when in Chicago.
This time we tried several starters. The empanadas were amazing - crispy and stuffed with different..."
uyUKtGWLYgu-RLjlNImy0A,Tango Sur,Chicago,_BAWRLjRlYDhXlwJqyo4LQ,5,"Visited Tango Sur few times, food and service was great each time. They are BYOB, so make sure to get some good wine.
We started with empanadas, they have..."
uyUKtGWLYgu-RLjlNImy0A,Tango Sur,Chicago,smGwfEBNPYyxf_O_uT_TZw,4,"After having a semi-disappointing steak at Swift & Sons, I came here for a friend's birthday party. I've heard very good things about Tango Sur and I must..."
_UJ3KqtHIHjExbAg-iIGUA,Greek Islands Restaurant,Chicago,7PclZ-bm0OBi6eyoMOhQag,5,"My family and I went to Greek Islands on Nov. 16th, 2021 before attending a concert at the United Center. Time was of the essence due to our work schedules..."
_UJ3KqtHIHjExbAg-iIGUA,Greek Islands Restaurant,Chicago,v0rbfixvsDkqiAR1EbrIPA,4,My bf and I were interested in having a nice dinner that wasn't too upscale so we chose this spot. It's very cute and really leans into the theatrical decor...
_UJ3KqtHIHjExbAg-iIGUA,Greek Islands Restaurant,Chicago,xh9uwoScKMNvJ85t6KXC5A,4,It is my all-time favorite Greek restaurant. I ordered a Dewars White Label Scotch on the rocks with a lemon twist. When the waitress delivered my drink I...
zIXZtgiir9CVF-iZeeAvaQ,RAMEN-SAN,Chicago,hOFKEWGsW8GJPuSKXloDFQ,5,This is the best ramen you'll ever have ! They are so worth it and such big portions. The atmosphere is also amazing. 11/10
zIXZtgiir9CVF-iZeeAvaQ,RAMEN-SAN,Chicago,46I2cRkmYWqaUVsyM5vn9Q,5,"WOW. Amazing, flavorful, fresh. I'm a huge fan of ramen and I've tried a lot of amazing spots, this place is impressive for sure. It was my husband's first..."
zIXZtgiir9CVF-iZeeAvaQ,RAMEN-SAN,Chicago,CptO35MoXH8p0f-TtR05sQ,3,"Restaurant was busy during dinner time. Ramen broth was not very good.

Food:
Fried chicken bun - very crispy chicken and good sauce
Pork belly bun - good..."
sR4EOfPuI-at41uIxIZPhw,Hopleaf,Chicago,fM4XKNpXFJXdM2ucKN5jHg,1,This place is trash. From the food to the service. We had a party of 4 that just wanted apps and drinks. The rude bartender says if you are not ordering...
tuJraaFffIS_JNK_4ZqGTA,Ema,Chicago,7c9fTd0SmiRxV04Xn5FyhA,5,"Sat at the bar. The food was excellent. Loved the hummus. Ordered the Salmon Kebab. 

The service was great, very friendly."
sR4EOfPuI-at41uIxIZPhw,Hopleaf,Chicago,ZVQxM2_fW4GG2Ch2RPaDcA,2,PSA ANNOUNCEMENT - We went to dinner here last night and it started nice at first. I'm not really verse with the beer selections so our server was nice...
HkUUKDwlIu869ECubV4NfA,Tanta,Chicago,q3ZaMTLSXYByo1vo049dOw,4,"Went here for my birthday dinner because of my recent interest in Pisco Sours and Ceviche.

We were a large group so we ordered shared APPETIZERS: 
-..."
fJhF5Yy4nguguaaH3TabmQ,Bandera Restaurant,Chicago,BADmYp8Q9wOBujlu6t1Hxg,3,"Bandera has been around forever, but unfortunately has seen much better days. The Macho Salad, Beef Ribs, Fish Sandwich and of course their signature..."
CwPi6NVuJIZZx4IBcTekFQ,Yolk - South Loop,Chicago,0lkG4Xvimt_WBeL76vH8aA,5,Great food and service. Staff kind and prompt. Made A reservation and the Rivette reservation was kept on time. All the food came out hot and delicious and...
CwPi6NVuJIZZx4IBcTekFQ,Yolk - South Loop,Chicago,TrXQleEdh2Uvg5RJLwMe6w,5,A great breakfast/brunch joint in the middle of downtown Chicago. My friend told me about this place and we were not disappointed when we checked it out. We...
CwPi6NVuJIZZx4IBcTekFQ,Yolk - South Loop,Chicago,5hkszitmKE9XF4sYFEmxwA,5,Yolk is a quite popular breakfast chain throughout the city. I was added to the waitlist online through Yelp  around 9:30 am and we were seated around noon...
